ID,duration,wav,spk_id,wrd
3526-175658-0000,10.995,../data/librilight/librispeech_finetuning/1h/0/clean/3526/175658/3526-175658-0000.flac,3526,PERMISSION TO ACCEPT SUCH ADDITIONAL EMPLOYMENT SHOULD IT OFFER HAVING FORMED AN ARTICLE OF THE TERMS ON WHICH HE HAD ENGAGED ME IT WAS THEREFORE ARRANGED IN THE COURSE OF NEXT DAY
3526-175658-0001,13.505,../data/librilight/librispeech_finetuning/1h/0/clean/3526/175658/3526-175658-0001.flac,3526,WHEN EVENING CAME I PREPARED TO STEP OVER IN ORDER TO SEEK A CONFERENCE WITH MADEMOISELLE HERSELF ON THE SUBJECT I HAD NOT HAD TIME TO PAY THE VISIT BEFORE HAVING BEEN ALL DAY CLOSELY OCCUPIED IN CLASS
3526-175658-0002,15.685,../data/librilight/librispeech_finetuning/1h/0/clean/3526/175658/3526-175658-0002.flac,3526,I REMEMBER VERY WELL THAT BEFORE QUITTING MY CHAMBER I HELD A BRIEF DEBATE WITH MYSELF AS TO WHETHER I SHOULD CHANGE MY ORDINARY ATTIRE FOR SOMETHING SMARTER AT LAST I CONCLUDED IT WOULD BE A WASTE OF LABOUR DOUBTLESS THOUGHT I
3526-175658-0003,15.145,../data/librilight/librispeech_finetuning/1h/0/clean/3526/175658/3526-175658-0003.flac,3526,SHE IS SOME STIFF OLD MAID FOR THOUGH THE DAUGHTER OF MADAME REUTER SHE MAY WELL NUMBER UPWARDS OF FORTY WINTERS BESIDES IF IT WERE OTHERWISE IF SHE BE BOTH YOUNG AND PRETTY I AM NOT HANDSOME
3526-175658-0004,15.49,../data/librilight/librispeech_finetuning/1h/0/clean/3526/175658/3526-175658-0004.flac,3526,AND NO DRESSING CAN MAKE ME SO THEREFORE I'LL GO AS I AM AND OFF I STARTED CURSORILY GLANCING SIDEWAYS AS I PASSED THE TOILET TABLE SURMOUNTED BY A LOOKING GLASS A THIN IRREGULAR FACE I SAW
3526-175658-0005,14.605,../data/librilight/librispeech_finetuning/1h/0/clean/3526/175658/3526-175658-0005.flac,3526,WITH SUNK DARK EYES UNDER A LARGE SQUARE FOREHEAD COMPLEXION DESTITUTE OF BLOOM OR ATTRACTION SOMETHING YOUNG BUT NOT YOUTHFUL NO OBJECT TO WIN A LADY'S LOVE NO BUTT FOR THE SHAFTS OF CUPID
3526-175658-0006,15.71,../data/librilight/librispeech_finetuning/1h/0/clean/3526/175658/3526-175658-0006.flac,3526,IN A MOMENT I HAD PULLED THE BELL IN ANOTHER MOMENT THE DOOR WAS OPENED AND WITHIN APPEARED A PASSAGE PAVED ALTERNATELY WITH BLACK AND WHITE MARBLE THE WALLS WERE PAINTED IN IMITATION OF MARBLE ALSO AND AT THE FAR END OPENED A GLASS DOOR
3526-175658-0007,15.25,../data/librilight/librispeech_finetuning/1h/0/clean/3526/175658/3526-175658-0007.flac,3526,THROUGH WHICH I SAW SHRUBS AND A GRASS PLAT LOOKING PLEASANT IN THE SUNSHINE OF THE MILD SPRING EVENING FOR IT WAS NOW THE MIDDLE OF APRIL THIS THEN WAS MY FIRST GLIMPSE OF THE GARDEN BUT I HAD NOT TIME TO LOOK LONG
3526-175658-0008,14.95,../data/librilight/librispeech_finetuning/1h/0/clean/3526/175658/3526-175658-0008.flac,3526,THE PORTRESS AFTER HAVING ANSWERED IN THE AFFIRMATIVE MY QUESTION AS TO WHETHER HER MISTRESS WAS AT HOME OPENED THE FOLDING DOORS OF A ROOM TO THE LEFT AND HAVING USHERED ME IN CLOSED THEM BEHIND ME I FOUND MYSELF IN A SALON
3526-175658-0009,15.6,../data/librilight/librispeech_finetuning/1h/0/clean/3526/175658/3526-175658-0009.flac,3526,WITH A VERY WELL PAINTED HIGHLY VARNISHED FLOOR CHAIRS AND SOFAS COVERED WITH WHITE DRAPERIES A GREEN PORCELAIN STOVE WALLS HUNG WITH PICTURES IN GILT FRAMES A GILT PENDULE AND OTHER ORNAMENTS ON THE MANTELPIECE
3526-175658-0010,13.79,../data/librilight/librispeech_finetuning/1h/0/clean/3526/175658/3526-175658-0010.flac,3526,A LARGE LUSTRE PENDENT FROM THE CENTRE OF THE CEILING MIRRORS CONSOLES MUSLIN CURTAINS AND A HANDSOME CENTRE TABLE COMPLETED THE INVENTORY OF FURNITURE ALL LOOKED EXTREMELY CLEAN AND GLITTERING
